Kód;Obec;Voliči;Obálky;Platné hlasy;1;2;3;4;44;5;6;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
589683;Lešany;0;0;0;320;0;0;0;0;0;0;35,56;0,00;0,00;0,00;1,54;8,76;8,24;0,00;11,34;0,51;1,03;0,00;1,03;0,51;0,00;1,03;0,51;2,57;3,60;12,37;0,00;5,67;5,15;0,00;0,51
589691;Lipová;0;0;0;0;0;615;0;0;0;0;29,39;0,00;0,00;0,00;0,00;11,35;22,71;0,00;5,34;0,00;0,22;0,00;0,00;0,00;0,00;3,56;0,00;0,89;0,22;11,13;1,78;4,67;8,68;0,00;0,00
589705;Ludmírov;0;0;0;0;0;0;480;0;0;0;34,30;0,00;0,00;0,00;0,41;11,71;14,22;0,00;4,60;0,00;0,83;0,00;0,00;0,00;0,00;4,60;0,00;1,25;0,00;12,13;1,25;4,18;10,46;0,00;0,00
589713;Malé Hradisko;0;0;0;309;0;0;0;0;0;0;20,54;0,00;1,62;0,00;0,00;12,43;14,59;0,00;9,72;1,08;0,54;0,00;0,00;0,00;0,00;7,02;1,08;0,00;1,62;15,13;0,54;3,78;10,27;0,00;0,00
589721;Mořice;0;0;0;422;0;0;0;0;0;0;29,59;0,00;0,00;0,00;0,00;17,48;5,82;0,00;3,58;0,44;0,89;0,00;0,00;0,00;0,00;9,86;0,00;0,44;0,89;17,48;0,44;4,03;8,96;0,00;0,00
589730;Mostkovice;0;0;0;1248;0;0;0;0;0;0;35,76;0,00;0,11;0,11;0,47;7,05;5,86;0,23;11,72;0,35;0,23;0,00;0,00;0,00;0,11;2,75;0,95;0,35;0,83;16,86;2,51;6,93;6,57;0,00;0,11
589748;Myslejovice;0;0;0;0;0;569;0;0;0;0;25,67;0,54;0,00;0,00;0,81;14,59;4,86;0,00;8,37;0,00;0,81;0,00;0,00;0,27;0,00;2,70;0,00;0,00;0,54;19,18;0,54;12,70;8,37;0,00;0,00
589756;Němčice nad Hanou;0;0;0;0;1612;0;0;0;0;0;28,11;0,31;0,42;0,00;0,53;11,71;8,41;0,10;8,41;0,63;0,63;0,00;0,31;0,21;0,21;2,44;0,00;0,42;0,63;18,74;2,55;4,68;10,22;0,10;0,10
589764;Nezamyslice;0;0;0;1140;0;0;0;0;0;0;33,33;0,16;0,00;0,00;0,48;9,43;9,26;0,16;8,29;0,00;0,97;0,00;0,16;0,00;0,00;4,39;0,00;0,32;0,65;14,47;2,60;5,69;9,10;0,16;0,32
589772;Niva;0;0;0;257;0;0;0;0;0;0;25,62;0,00;0,00;0,00;0,62;20,00;7,50;0,00;3,75;0,00;0,62;0,00;0,00;0,00;0,00;4,37;0,00;1,25;0,62;13,12;0,00;6,25;16,25;0,00;0,00
589799;Obědkovice;0;0;0;207;0;0;0;0;0;0;31,91;0,00;0,00;0,00;1,06;18,08;5,31;0,00;3,19;0,00;1,06;0,00;0,00;0,00;0,00;1,06;0,00;2,12;0,00;24,46;4,25;1,06;6,38;0,00;0,00
589802;Ohrozim;0;0;0;370;0;0;0;0;0;0;21,05;0,37;0,00;0,00;1,12;6,76;19,17;0,00;11,27;0,00;0,37;0,37;0,00;0,00;0,75;3,75;0,37;1,12;0,00;15,03;3,00;7,89;7,51;0,00;0,00
589811;Ochoz;0;0;0;152;0;0;0;0;0;0;25,25;0,00;0,00;0,00;1,01;8,08;31,31;0,00;9,09;0,00;0,00;0,00;0,00;6,06;0,00;2,02;0,00;1,01;0,00;5,05;4,04;3,03;4,04;0,00;0,00
